Prix,Surface,Arrondissement,Pieces,DPE,Lien,Description,Date_scraping
2310.0,66.0,15,3.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293114993A1KILHAP000,À louer : découvrez ce magnifique appartement t3 situé dans le quartier…,2026-08-01
1661.0,47.0,14,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293552641A1KILHAP000,A louer - métro alesia - rue bezout - t2 pièces avec…,2026-08-01
1540.0,38.0,10,2.0,,https://www.paruvendu.fr/immobilier/location/appartement/1293731745A1KILHAP000,"Superbe 2 pièces meublé de 38m² €"" paris 10e (albert camus). loue…",2026-08-01
1492.0,40.0,20,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293504302A1KILHAP000,Appartement à louer 2 pièces paris 20eme arrondissement (75). appartement 2 pièces…,2026-08-01
2437.0,71.0,14,3.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1289705591A1KILHAP000,"À Paris, appartement 3 pièces de 71.49m² dans le 14ème arrondissement. Comprend…",2026-08-01
1762.0,48.0,20,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293747316A1KILHAP000,"Beau 2 pièces. l'adresse nation vous présente ce beau deux pièces, situé…",2026-08-01
935.0,19.0,16,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293730498A1KILHAP000,"Studio 7ème étage ascenseur. fiche id-par27543g : grand studio meublé, 7ème étage…",2026-08-01
1641.0,53.0,14,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1292317025A1KILHAP000,À louer : appartement en bon état général - t2 situé dans…,2026-08-01
430.0,9.0,19,1.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293727512A1KILHAP000,"Chambre de 9m2 à louer sur paris 19. de particulier à particulier,…",2026-08-01
2689.0,40.0,6,3.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293727476A1KILHAP000,"Appartement de 40m2 à louer sur paris 06. paris 06, à louer…",2026-08-01
1450.0,45.0,19,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293301742A1KILHAP000,"Bas belleville 2p meublé. paris, bas belleville. nous vous proposons en exclusivité…",2026-08-01
4200.0,100.0,15,4.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293718082A1KILHAP000,Location appartement 4 pièces. iad france - lei wu vous propose: bel…,2026-08-01
2600.0,54.0,8,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1290244031A1KILHAP000,"À Paris 8ème, découvrez cet appartement meublé de 54 m² avec terrasse,…",2026-08-01
867.0,23.0,18,1.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293690225A1KILHAP000,"Studio de 23m2 à louer sur paris 18. paris 18, à louer…",2026-08-01
900.0,12.0,14,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293690145A1KILHAP000,Chambre de 12m2 à louer sur paris 14. chambre de particulier à…,2026-08-01
995.0,12.0,15,1.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293690144A1KILHAP000,"Studio de 12m2 à louer sur paris 15. paris 15, à louer…",2026-08-01
2599.0,58.0,5,3.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293690120A1KILHAP000,"Appartement de 58m2 à louer sur paris 05. paris 05, à louer…",2026-08-01
2010.0,38.0,7,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293690103A1KILHAP000,"Appartement de 38m2 à louer sur paris 07. de particulier à particulier,…",2026-08-01
2285.0,56.0,15,3.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1292994955A1KILHAP000,À louer : charmant T3 de 56 m² dans le 15ème arrondissement…,2026-08-01
1965.0,53.0,15,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293483157A1KILHAP000,À louer : appartement t2 situé dans le quartier animé de paris…,2026-08-01
741.0,18.0,10,1.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293688247A1KILHAP000,Studio cosy à louer au 6ème étage à paris -. mandat actif…,2026-08-01
950.0,17.0,6,1.0,1.0,https://www.paruvendu.fr/immobilier/location/appartement/1293683429A1KILHAP000,"Vavin charmant studio meublé !. rue vavin , ce studio meublé de…",2026-08-01
